http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        199061,    2496,    2496,    2496,     1.8,     1.2,     4.4,     8.8,    50.6,    52.3,   88.9,  0.01583,      0,      0,       0,       0,       0,       0
total,        201286,    2218,    2218,    2218,     2.0,     1.2,     4.7,     9.8,    69.3,    70.0,   89.9,  0.01567,      0,      0,       0,       0,       0,       0
total,        203672,    2379,    2379,    2379,     1.9,     1.2,     4.4,     8.6,    83.1,    92.6,   90.9,  0.01553,      0,      0,       0,       0,       0,       0
total,        206407,    2723,    2723,    2723,     1.6,     1.2,     4.1,     7.8,    11.9,    12.8,   91.9,  0.01544,      0,      0,       0,       0,       0,       0
total,        208410,    1997,    1997,    1997,     2.3,     1.3,     5.0,    11.5,    67.5,    71.3,   92.9,  0.01538,      0,      0,       0,       0,       0,       0
total,        211037,    2618,    2618,    2618,     1.7,     1.2,     3.9,     6.8,    73.6,    80.2,   93.9,  0.01533,      0,      0,       0,       0,       0,       0
total,        213701,    2645,    2645,    2645,     1.7,     1.1,     4.1,     8.2,    53.8,    55.9,   94.9,  0.01527,      0,      0,       0,       0,       0,       0
total,        215937,    2229,    2229,    2229,     2.0,     1.2,     5.0,    11.2,    64.8,    66.4,   95.9,  0.01511,      0,      0,       0,       0,       0,       0
total,        218069,    2125,    2125,    2125,     2.1,     1.3,     5.0,    11.1,    78.3,    82.0,   96.9,  0.01499,      0,      0,       0,       0,       0,       0
total,        219946,    1866,    1866,    1866,     2.4,     1.4,     5.7,    13.4,    89.6,    97.7,   97.9,  0.01491,      0,      0,       0,       0,       0,       0
